url,更新頻度,title,description,provider,providerType,field,format,audience,purpose,scale,level,txn,priceNum,access,topics,year_since
https://4d2u.nao.ac.jp/mitaka/,年次,4次元デジタル宇宙ビューワー Mitaka,観測データと理論モデルをもとに太陽系から宇宙の大規模構造までを可視化する無料ソフト。地球を離れて自由に移動でき、天体の運動や宇宙の階層構造を自分の操作で観察できる。,国立天文台4次元デジタル宇宙プロジェクト,大学・研究機関,宇宙・天文,アプリ,中学生|高校生|大学生・院生|社会人,知識習得|興味喚起,1人,初級,無料,0,,宇宙|可視化|天文学|シミュレーション,2003
https://www.megastar.jp/,月次,HOMESTAR（家庭用プラネタリウム）／大平技研,プラネタリウム・クリエイター大平貴之の大平技研が開発。世界最高峰MEGASTARの技術を家庭用に。部屋いっぱいに数万個の星空を投影する光学式プラネタリウム。,大平技研株式会社,企業・メーカー,宇宙・天文,観察器具,全年齢,興味喚起|エンタメ|知識習得,1人,入門,購入（買い切り）,13200,,プラネタリウム|星空|天文|投影,2005
https://edu.jaxa.jp/,月次,JAXA宇宙教育センター,宇宙航空研究開発機構が運営する宇宙教育の拠点です。授業で使える教材の提供や体験プログラム、指導者育成を通じ、子どもたちに宇宙をテーマとした学びの機会を全国で届けている。,宇宙航空研究開発機構（JAXA）,大学・研究機関,宇宙・天文,出張授業,小学生|中学生|高校生,知識習得|興味喚起|探究・自由研究,中規模（10〜50）,入門,無料,0,オンライン参加可,宇宙|JAXA|宇宙教育|教材,2003
https://edu.jaxa.jp/activities/cosmic/,月次,JAXA宇宙教育センター「コズミックカレッジ」,JAXAが提供する小・中学生向けの体験型宇宙教育プログラム。水ロケットなどの実験・工作を通じて宇宙の不思議に触れる。全国で地域主催により開催。,宇宙航空研究開発機構（JAXA）,自治体・公的機関,宇宙・天文,ワークショップ,小学生|中学生,興味喚起|知識習得,中規模（10〜50）,入門,無料,0,,宇宙|ロケット|実験|工作,2005
https://www.kenko-tokina.co.jp/optics/telescope.html,手動,ケンコー・トキナー 天体望遠鏡,国産天体望遠鏡の草分けとして知られるメーカーのラインアップ。月のクレーターや惑星を観察できる入門機から拡張性のある分割式鏡筒システムまで用意している。,株式会社ケンコー・トキナー,企業・メーカー,宇宙・天文,観察器具,中学生|高校生|社会人,興味喚起|探究・自由研究,1人,初級,購入（買い切り）,,,天体望遠鏡|月|惑星|星空観察,2000
https://www.taiyo-bm.co.jp/business_planetarium/,手動,デリバリープラネタリウム,屋内専用のエアドームとデジタル投影機を持ち込む移動型プラネタリウム。学校での学習投影や公共施設・商業施設のイベントに対応し、星空解説やドーム番組を出張で上映する。,大揚興業株式会社,企業・メーカー,宇宙・天文,展示・施設イベント,未就学児|小学生|全年齢,知識習得|興味喚起,中規模（10〜50）,入門,要見積もり,,,プラネタリウム|エアドーム|星空解説|出張投影,
https://www.vixen.co.jp/product/tls1/,月次,ビクセン 天体望遠鏡シリーズ,国内の光学機器メーカーによる天体望遠鏡のラインアップ。月や惑星、星雲星団を観察できる屈折式や反射式の鏡筒と架台をそろえ、初心者向けの選び方や使い方の解説も公開している。,株式会社ビクセン,企業・メーカー,宇宙・天文,観察器具,中学生|高校生|社会人|全年齢,興味喚起|探究・自由研究,1人,初級,購入（買い切り）,,,天体望遠鏡|月|惑星|星空観察,
https://pla-works.jp/,手動,プラネタリウムワークス,移動式プラネタリウムの投影を専門に行う事業者。その土地のその日の星空を中心に生解説し、話題の天文現象や国際宇宙ステーションの探し方も紹介する。学校や園への出張に対応する。,プラネタリウムワークス,個人コミュニケーター,宇宙・天文,展示・施設イベント,全年齢,知識習得|興味喚起,中規模（10〜50）,入門,要見積もり,,,移動プラネタリウム|星空解説|天文現象|出張,
https://www.nhao.jp/public/watching/index.html,週次,兵庫県立大学 西はりま天文台 天体観望会,世界最大級の公開望遠鏡「なゆた」で天体を観望できる天文台、夜間観望会や学校への出前観望も行う。,兵庫県立大学 西はりま天文台,大学・研究機関,宇宙・天文,フィールドワーク,全年齢,興味喚起|知識習得,中規模（10〜50）,入門,予約（日時指定）,,,天体観望|望遠鏡|星空|天文台,
https://nenohoshi.info/?page_id=692,手動,子ノ星教育社 移動プラネタリウム,エアドームと投影機を希望の場所に持ち込む移動プラネタリウム。前半は当日の星空紹介、後半はオリジナル番組を上映し、ドームは人数に応じて三つのサイズから選べる。,子ノ星教育社,企業・メーカー,宇宙・天文,展示・施設イベント,全年齢,知識習得|興味喚起,中規模（10〜50）,入門,要見積もり,,,移動プラネタリウム|エアドーム|天体観望会|星空,
https://www.fujikawarakuza.co.jp/planetarium/moving,手動,富士川楽座 移動プラネタリウム,超小型の光学式投影機を持ち込み、天井や壁面に星空を映し出す出張プラネタリウム。家庭や店舗、公共施設、小型ドームなど様々な環境で壮大な宇宙空間を再現することができる。,富士川楽座,企業・メーカー,宇宙・天文,展示・施設イベント,全年齢,知識習得|興味喚起,中規模（10〜50）,入門,要見積もり,,,プラネタリウム|星空|出張投影|MEGASTAR,
https://www.i-kahaku.jp/planet/,月次,愛媛県総合科学博物館 プラネタリウム,愛媛県新居浜市の博物館にある直径30mのドームスクリーンのプラネタリウム。光学式投映機による約65万個の星と全天周デジタル映像で、宇宙空間にいるような体験ができる。,愛媛県総合科学博物館,科学館・博物館,宇宙・天文,展示・施設イベント,全年齢,知識習得|興味喚起,大規模（50+）,入門,購入（買い切り）,,車椅子対応,プラネタリウム|星空|愛媛|ドーム,1994
https://www.youtube.com/channel/UCU0KURiKTupBYVCK8rgG7Rw,週次,日本科学情報,宇宙や量子など科学全般を映像作品として解説するYouTubeチャンネル、書籍やプラネタリウム作品も制作する。,日本科学情報,クリエイター・YouTuber,宇宙・天文,動画・オンライン講座,中学生|高校生|社会人,興味喚起|知識習得,1人,入門,無料,0,オンライン参加可,宇宙|量子|科学|動画,
https://hoshitsumugi.org/planetarium/,手動,星つむぎの村 出張プラネタリウム,移動式ドームや天井投影で星空と宇宙を届ける出張プラネタリウムです。星空ナビゲーターが生解説を行い、病院や学校、福祉施設にも訪問して、宇宙といのちのつながりを物語る。,一般社団法人星つむぎの村,NPO・団体,宇宙・天文,展示・施設イベント,全年齢,知識習得|興味喚起,中規模（10〜50）,入門,要見積もり,,,星空|宇宙|プラネタリウム|出張,2015
https://www.hoshinofurusato.jp/constellation/,月次,星の文化館,福岡県星野村にある昼夜公開の公開天文台、大型望遠鏡での天体観望や星空解説を楽しめ宿泊も可能な施設。,一般財団法人星のふるさと,NPO・団体,宇宙・天文,フィールドワーク,全年齢,興味喚起|知識習得,中規模（10〜50）,入門,予約（日時指定）,,,天体観望|望遠鏡|星空|天文台,
https://www.nacsj.or.jp/shidouin/,月次,NACS-J自然観察指導員,自然観察から自然保護を実践する人を育てる講習会と登録制度。野外実習で観察会の企画や進行を学び、修了者は各地で観察会を開いて生物多様性の保全につなげている。,公益財団法人日本自然保護協会,NPO・団体,生きもの・生命科学,フィールドワーク,大学生・院生|社会人|シニア,スキル習得|態度・行動変容,中規模（10〜50）,初級,予約（日時指定）,,,自然観察|自然保護|指導員|生物多様性,1978
